2025-12-15 14:31:37 | INFO | vqe_output | **************************************************

2025-12-15 14:31:37 | INFO | vqe_output | Running VQE for N2 with 1000 shots.
2025-12-15 14:31:37 | INFO | vqe_output | Taking 1 samples.
2025-12-15 14:31:37 | INFO | vqe_output | Using Quantinuum H1-Emulator.
2025-12-15 14:31:37 | INFO | vqe_output | Using circuit from /home/qlila/ResearchCode/GivensVQE/ansatz_circuits/ordered_circuits_to_run/N2/2_dets_1_givens.qpy.
2025-12-15 14:31:37 | INFO | vqe_output | Loading initial parameters from /home/qlila/ResearchCode/GivensVQE/ansatz_circuits/ordered_circuits_to_run/N2/2_dets_1_givens_optimal_params.npy.
2025-12-15 14:31:37 | INFO | vqe_output | No transpilation will be performed.
2025-12-15 14:31:37 | INFO | vqe_output | Output will be saved to /home/qlila/ResearchCode/GivensVQE/results/N2/H1-Emulator/2_dets_1_givens
2025-12-15 14:31:37 | INFO | vqe_output | Sample 1/1
2025-12-15 14:31:37 | INFO | vqe_output | Only evaluating energy for the initial parameters.
2025-12-15 14:31:37 | INFO | vqe_output | loaded Hamiltonian matrix from file "/home/qlila/ResearchCode/GivensVQE/givens_vqe/data/N2_hamiltonian.npy"
2025-12-15 14:31:38 | INFO | vqe_output | Nuclear repulsion energy: 23.615376443606557
2025-12-15 14:31:39 | INFO | vqe_output | saved measurement expectation to /home/qlila/ResearchCode/GivensVQE/results/N2/H1-Emulator/2_dets_1_givens/measurement_expectation.json
2025-12-15 14:31:39 | INFO | vqe_output | saved operator to /home/qlila/ResearchCode/GivensVQE/results/N2/H1-Emulator/2_dets_1_givens/operator.json
2025-12-15 14:31:53 | INFO | vqe_output | Compiler optimisation level: 2
2025-12-15 14:32:56 | INFO | vqe_output | submitted energy expectation job to backend.
2025-12-15 14:32:56 | INFO | vqe_output | saved job reference to /home/qlila/ResearchCode/GivensVQE/results/N2/H1-Emulator/2_dets_1_givens/energy_expectation_job
2025-12-15 14:32:56 | INFO | vqe_output | VQE_result(final_elec_energy='TBD', final_energy_std='TBD', nuclear_energy=np.float64(23.615376443606557), core_energy=np.float64(-100.02780752661154), final_total_energy='TBD', final_params=[0.03354155310478334], success=None, initial_params=[0.03354155310478334], initial_energy='TBD', initial_energy_std='TBD', optimizer=None, param_mode='load_optimal', circuit_path='/home/qlila/ResearchCode/GivensVQE/ansatz_circuits/ordered_circuits_to_run/N2/2_dets_1_givens.qpy', nb_removed_dets=None, nb_givens=None, molecule='N2', backend='QuantinuumBackend', machine_name='H1-Emulator', shots=1000, nb_single_givens=0, nb_double_givens=1, param_path='/home/qlila/ResearchCode/GivensVQE/ansatz_circuits/ordered_circuits_to_run/N2/2_dets_1_givens_optimal_params.npy', energy_error='TBD', circuit='2_dets_1_givens', shot_dir='1000_shots', nb_samples=1, nb_hamiltonian_measurements=42, givens_depth=2, nb_qubits=16, seed=None, nb_iterations=None, termination_flag=None, nb_function_evals=None, used_params_indices=[0], jobs_dict='1ede9bfb-f775-4f87-a51c-be0502e08095', circuit_ids=['eeabe399-4ae3-40db-bf9c-5afa23b6db35', 'f00544f3-97e1-4718-b280-180972832904', '4b1ed2dc-e61e-4ec0-bc44-9ec36c88e45b', '0340dcca-e0eb-4b73-900a-895b8b065140', '756512a2-c122-4993-9442-fbdec0207d82', 'aaf0b96d-bc85-43f1-a0d4-2280fcb24667', 'adafb629-dd3d-4c1b-bd96-b236970c4e03', '608d39e2-d7b3-4e00-859b-93f4f97caae6', '869d24de-85c3-4368-960b-3c33bebd082d', '6c712c91-a34b-488a-a75f-d5124ae1147c', '7e18e4e4-6a6c-442e-9055-c4ba851ec9b4', '1dc5b1bb-e553-426b-ac20-5dbc39fe4151', '680b742c-9126-43cb-b64a-52c4ec44f220', '7d58d033-b205-4e9e-8b2a-4aab6e2e292a', '825e4573-9c0d-44aa-b30b-173f9f5c60a9', '6601e9a4-ab10-4b79-8afb-9ea1e769c4bc', '270b7ed9-a977-47a9-8764-92240f8bea5b', 'f3e19046-b9d1-4ed5-ac8d-e459e0d788da', 'b9c8dce0-0077-4343-ae20-e7bdc64635ab', '5f417d88-51ae-47e2-9e8d-01e2e78e975d', '82c00a62-4aae-461f-95c4-4879eb0fb9fe', 'e1ca92ff-d2cc-44fd-8ef0-91e7df9463f0', 'a76c6902-b314-4f87-8a6d-e2c4e16e90fd', '0d09e4f2-3913-43c5-8a4c-e7cb4b6a1732', 'e8055654-3bab-43b4-bb43-e961c209e74c', '70026ca9-5049-46ac-8847-5efbfec504a5', '172ff592-0adb-4731-b59d-80e1708e6446', '2cfcf4d6-8080-477c-8631-aabaf5785a54', 'd2c0716b-eaea-44de-8a5c-ce9f665b1408', '7d3d8fdf-90f3-44be-acd5-489349ca9890', 'cee5c15e-7502-4db5-b3d9-ae5c7ab70157', 'b0120301-78be-43da-b16d-57fd51bf6144', '15329312-15ba-464d-9358-ffb2a4c452ce', 'eff2ace9-ff93-45cd-b9a3-97c415097211', 'c8cc7ade-eb84-4374-9ca2-7c73cd650333', '5f2ec38c-ab1f-4614-918c-47cbeccefc0d', '4ce647c5-f77f-4abd-9c56-1e09f049956e', '95d33617-a497-4813-91a3-2e6bacfc0711', '041758dc-1c68-4f85-b11f-cd983087c5b3', 'eededa47-ef35-4dde-a865-918e2c7b54f8', 'ac5b030a-2680-4e84-9b49-94338fe40707', '22d44fb2-e7bf-472b-9dc2-41a3bdc22548'], HQC_cost='TBD')
2025-12-15 14:32:56 | INFO | vqe_output | Only one sample taken, returning single result.
